"PID"	"IID"
1	1
4	4
5	5
7	7
8	8
12	12
15	15
16	16
18	18
19	19
22	22
23	23
24	24
26	26
28	28
30	30
31	31
33	33
39	39
43	43
51	51
55	55
56	56
59	59
60	60
61	61
62	62
63	63
64	64
65	65
67	67
69	69
72	72
73	73
74	74
79	79
81	81
83	83
84	84
89	89
92	92
133	133
139	139
143	143
148	148
154	154
160	160
169	169
171	171
177	177
181	181
182	182
188	188
191	191
204	204
205	205
212	212
214	214
230	230
232	232
234	234
235	235
236	236
239	239
242	242
243	243
246	246
247	247
252	252
253	253
262	262
277	277
303	303
326	326
335	335
357	357
358	358
381	381
398	398
427	427
433	433
452	452
456	456
459	459
466	466
480	480
485	485
505	505
512	512
514	514
538	538
540	540
592	592
620	620
703	703
719	719
739	739
743	743
749	749
752	752
753	753
771	771
777	777
796	796
808	808
809	809
825	825
826	826
833	833
841	841
863	863
881	881
882	882
889	889
893	893
899	899
918	918
935	935
936	936
938	938
944	944
959	959
960	960
967	967
968	968
971	971
994	994
1002	1002
1003	1003
1023	1023
1043	1043
1049	1049
1061	1061
1079	1079
1082	1082
1107	1107
1118	1118
1140	1140
1153	1153
1157	1157
1194	1194
1198	1198
1207	1207
1209	1209
1216	1216
1217	1217
1218	1218
1222	1222
1223	1223
1232	1232
1238	1238
1239	1239
