Huvitus,"Self sterile."
Idagold,"Diploid. Self sterile."
Idajon,"Diploid. Self sterile."
Idared,"Diploid. Self sterile."
"Imperial Stayman","Self sterile."
Ingol,"Diploid. Self sterile."
Ingram,"Diploid. Self sterile."
"Ingrid Marie",
Iwakami,"Diploid. Self sterile."
"Jakob Fischer","Triploid. Group ???? Day ???? early. Sensitive to l frosts."
"Jan Steen","Self sterile. Group E Day 18"
Jewel,"Self sterile."
"Jewett Red","Diploid. Self sterile."
Joan,"Diploid. Self sterile."
"Crawley Reinette","Self sterile. Group D. Day 15."
"Creamy Kitaika","Self sterile."
"Crimson Beauty",
"Crimson Bramley","Self sterile."
"Crimson Crisp","Self sterile."
"Crimson Gold","Diploid. Self sterile."
Crollon,"Diploid. Self sterile."
Crookston,"Self sterile."
"crow egg","Self sterile."
Dakota,"Diploid. Self sterile."
"Deacon Jones","Diploid. Self sterile."
Delikates,"Self sterile."
Democrat,"Self sterile. Group C. Day 8."
"Devonshire Quarrenden","Diploid. Partially self-fertile, but produces the best harvest when grown in proximity to a source of compatible pollen."
Diana,"Self sterile. Group C. Day 10."
Diana,"Self sterile."
"Directeur Lesage","Self sterile. Group B. Day 6."
Discovery,"Diploid. Self sterile."
Drakenstein,
"Dukát","Diploid. Self sterile."
Dufflin,"Self sterile."
Dulcina,"Self sterile."
Dunning,"Diploid. Self sterile."
Earliblaze,
"Early Banta","Diploid. Self sterile."
"Early Crimson",
"Early Harvest","Diploid. Self sterile."
"Early Joe","Diploid. Self sterile."
Ecolette,"Self sterile."
Eden,"Diploid. Self sterile."
"Egremont Russet","Somewhat self-fertile, but produces best when paired with a compatible pollination partner."
"Egri Piros","Self sterile."
"Ein Shemer","Partially self fertile."
Elektra,"Self sterile. Group B Day 7"
"Ellison's Orange","Partly self fertile but produces best with a compatible source of pollen."
Elstar,"Diploid. Self sterile."
Emilia,"Diploid. Self sterile."
Empire,"Diploid. Self fertile but produces best with a suitable pollinizer."
Empress,"Self sterile. Group D Day 12"
"Ernst Bosch","Diploid. Self sterile."
"Esopus Spitzenburg","Diploid. Partially self sterile."
"Exeter Cross","Exeter Cross. Group C. Day 11."
Fallawater,"Triploid. Produces no viable pollen for itself nor neighbouring apple trees."
Fantazja,"Diploid. Self sterile."
"Fenouillet gris","Self sterile."
"Field Spy","Self sterile."
"Finson's Orange","Self sterile."
Fireside,
Florina,"Diploid. Self sterile."
"Flower of Kent","Diploid. Self sterile."
Freedom,"Diploid. Self sterile."
"Freiherr von Berlepsch","Diploid. Self sterile."
Galicia,"Self sterile."
Garland,"Diploid. Self sterile."
Garrison,"Diploid. Self sterile."
"Geeveston Fanny","Diploid. Self-sterile."
Generos,"Diploid. Self sterile."
"Geneva Early","Diploid. Self sterile."
"George Cave","Self fertile but produces best with a pollinizer."
"Gibbs Golden Gage","Self sterile."
"Ginger Gold","Diploid. Self sterile."
Gladstone,"Partly self sterile but produces best in the presence of a source of compatible pollen."
"Golden Delicious","Self fertile, but the crop improves in the presence of a compatible source of pollen."
"Golden Noble","Diploid. Self sterile."
"Golden Nugget","Diploid. Self sterile."
"Golden Nugget","Self sterile."
"John Standish","Diploid. Self sterile."
Jonafree,
Jonagold,"Triploid. Produces only sterile pollen. Do not use Golden Delicious as a pollinator since it is incompatible."
Jonagram,"Self sterile."
Jonalicious,"Diploid. Self sterile."
Jonamac,"Diploid. Self sterile."
Jonathan,"Diploid. Self fertile but needs a pollinizer for optimum production."
Judaine,"Diploid. Self sterile."
Judeline,"Diploid. Self sterile."
"June Wealthy","Diploid. Self sterile."
"Kaiser Wilhelm","Triploid. Does not produce viable pollen for itself or other apple trees."
Kamsomolez,Diploid.
"Kandil Sinap","Diploid. Self sterile."
"Kardinal Bea","Diploid. Self sterile."
Katja,"Diploid. Self sterile."
"Keegan's Crab","Self sterile."
Keepsake,"Diploid. Self sterile."
Kemp,"Self sterile. Group D Day 13"
Kendall,"Self sterile. Group B. Day 7."
Kestrel,"Diploid. Self sterile."
Kile,"Self sterile. Group C Day 10"
King,"Partially self fertile. Group ???? Day ????"
"King Cole","Self sterile. Group C Day 9"
"King David","Diploid. Self sterile."
"King Harry","Self sterile."
"King of the Pippins",
Kinsei,"Self sterile."
Kitanosachi,"Diploid. Self sterile."
Kogetsu,
Korei,"Self sterile. Group C Day 11"
Korobovka,"Self sterile. Group C. Day 8. The flowers can tolerate late frosts."
Korona,"Self sterile."
Kosmonaut,"Self sterile. Group C Day 10"
LuraRed,"Diploid. Self-sterile."
"Lambrook Pippin","Self sterile."
Langworthy,"Self sterile."
"Late Strawberry","Diploid. Self sterile."
Lemoen,"Self sterile. Group C Day 10"
"Lemon Pippin","Diploid. Self sterile."
Linda,"Self sterile. Group B. Day 7."
Lindel,"Diploid. Self sterile."
Lobo,
"Lorna Doone","Self sterile. Group D Day 12"
Lowry,"Diploid Self sterile."
Macfree,"Diploid. Self sterile."
Macoun,"Diploid. Self sterile."
"Magnolia Gold","Diploid. Self sterile."
"Maiden Blush","Diploid. Self sterile."
"Maiden Blush","Self sterile."
Maigold,"Diploid. Self-sterile."
Major,"Diploid. Self sterile."
Malinda,
"Malling Kent","Diploid. Self sterile."
"Malt Bagaevskii","Self sterile."
"Manitoba Spy","Self sterile."
Mantet,"Diploid. Self sterile."
Mariborka,"Self sterile. Group E Day 17"
"Marin Onfroy",
Marquesa,"Self sterile."
Martha,"Self sterile."
"McClintock Grimes","Self sterile."
McIntosh,"Diploid. Partially self-fertile but produces best in proximity to trees with compatible pollen."
McShay,"Diploid. Self sterile."
Medina,"Diploid. Self sterile."
Megumi,"Diploid. Self sterile."
Melba,"Diploid. Self sterile."
Melrose,"Diploid. Self-sterile."
"Merton Beauty","Diploid. Self sterile."
"Merton Delight","Self sterile. Group C Day 11"
"Middleton Fameuse","Diploid. Self sterile."
Milton,"Diploid. Self sterile."
Milwaukee,"Self sterile."
Mingan,"Self sterile."
"Minister von Hammerstein","Self sterile. Group C Day 9"
Mio,"Self sterile. Group D Day 13"
Moira,"Diploid. Self sterile."
"Monmouth Beauty","Diploid. Self sterile."
Montgomery,"Self sterile."
Montgomery,"Diploid. Self sterile."
"Morden 363","Self sterile."
"Crimson Gold","Self sterile."
Murasaki,"Self sterile. Group C Day 11"
Murray,"Diploid. Self sterile."
