"PID"	"IID"
48	48
136	136
146	146
153	153
158	158
162	162
164	164
167	167
194	194
198	198
208	208
213	213
222	222
369	369
376	376
377	377
384	384
385	385
387	387
394	394
396	396
399	399
401	401
403	403
405	405
409	409
417	417
418	418
421	421
426	426
437	437
444	444
446	446
461	461
465	465
471	471
481	481
495	495
503	503
504	504
523	523
530	530
531	531
550	550
559	559
560	560
561	561
564	564
566	566
568	568
569	569
570	570
572	572
574	574
708	708
712	712
714	714
723	723
738	738
740	740
741	741
746	746
757	757
759	759
772	772
773	773
779	779
783	783
785	785
793	793
794	794
799	799
813	813
821	821
828	828
829	829
831	831
835	835
849	849
856	856
860	860
862	862
872	872
873	873
874	874
876	876
880	880
890	890
892	892
896	896
901	901
902	902
924	924
929	929
937	937
943	943
949	949
953	953
969	969
972	972
979	979
982	982
991	991
1000	1000
1010	1010
1017	1017
1024	1024
1026	1026
1047	1047
1048	1048
1052	1052
1053	1053
1054	1054
1058	1058
1060	1060
1063	1063
1064	1064
1067	1067
1081	1081
1104	1104
1105	1105
1109	1109
1111	1111
1116	1116
1122	1122
1126	1126
1155	1155
1168	1168
1171	1171
1185	1185
1189	1189
1230	1230
